epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,9398.55,0.63744,0.33827,0.84414,0.96393,0.97771,0.98857,0.8144,0.71379,0.3269,0.87809,9.07735e-06,9.07735e-06,9.07735e-06
89,9503.9,0.63106,0.33627,0.84512,0.96563,0.97472,0.98813,0.81108,0.714,0.32661,0.87784,8.01215e-06,8.01215e-06,8.01215e-06
90,9610.15,0.63206,0.3354,0.83815,0.96655,0.97481,0.98877,0.81483,0.71343,0.32608,0.87724,7.02826e-06,7.02826e-06,7.02826e-06
91,9719.88,0.62213,0.31031,0.85096,0.96202,0.98214,0.9896,0.80934,0.72072,0.33249,0.87942,6.12664e-06,6.12664e-06,6.12664e-06
92,9825.89,0.61568,0.30518,0.84495,0.96188,0.97541,0.98603,0.80934,0.72099,0.3311,0.87869,5.30818e-06,5.30818e-06,5.30818e-06
93,9931.59,0.60929,0.30083,0.84682,0.95816,0.97564,0.98645,0.81124,0.71866,0.33077,0.87806,4.57369e-06,4.57369e-06,4.57369e-06
94,10036.7,0.61788,0.30529,0.84803,0.95914,0.97721,0.98624,0.8132,0.7165,0.32882,0.87781,3.9239e-06,3.9239e-06,3.9239e-06
95,10141.6,0.61402,0.306,0.84568,0.96055,0.9792,0.98637,0.8109,0.7162,0.32906,0.87765,3.35944e-06,3.35944e-06,3.35944e-06
96,10247.4,0.60804,0.30294,0.84157,0.95935,0.97953,0.98708,0.8114,0.71599,0.3277,0.87707,2.88087e-06,2.88087e-06,2.88087e-06
97,10353.3,0.60957,0.29905,0.85068,0.95922,0.9794,0.98702,0.81047,0.71535,0.3276,0.87696,2.48868e-06,2.48868e-06,2.48868e-06
98,10458,0.61293,0.30266,0.84712,0.9601,0.97946,0.98704,0.81107,0.71482,0.32702,0.87681,2.18323e-06,2.18323e-06,2.18323e-06
99,10564.1,0.61202,0.30119,0.84334,0.9588,0.98051,0.98703,0.81205,0.71488,0.32849,0.87709,1.96484e-06,1.96484e-06,1.96484e-06
100,10669.6,0.60412,0.29952,0.8448,0.96207,0.98233,0.98896,0.81308,0.71485,0.32693,0.87711,1.83372e-06,1.83372e-06,1.83372e-06
